;created_at;date;name;username;link;tweet;replies_count;retweets_count;likes_count;photos
37;2022-03-27 15:17:29 CEST;27.03.22;AllBright;weareallbright;https://twitter.com/weareAllBright/status/1508070704692015113;We've loved connecting with this kick-ass community in the #Metaverse this weekend 🎉 #MVFW is the very first of its kind with brands such as @EsteeLauder @EtroOfficial @TommyHilfiger debuting in @decentraland⚡️  More exciting things to come at the AllBright Meta Club soon 👀🚀;1;0;7;[]
38;2022-03-27 14:08:51 CEST;27.03.22;Professor P. @ MUL;wincep_ofmul;https://twitter.com/WinceP_ofMUL/status/1508053433386946566;"So 60 brands (Tommy Hilfiger, D&amp;G, Forever 21, among others) participated in the ""first"" #MetaverseFashionWeek on #Decentraland  So my question is.. What was the #ROI for the brands and was it worth the budget allocated for this?  #MVFW #MVFW22 #fashion #Metaverse #business #Web3";0;0;1;[]
39;2022-03-27 10:35:27 CEST;27.03.22;MetaWear®;metaweartoken;https://twitter.com/metaweartoken/status/1507999728314863617;What brands are showing at Metaverse Fashion Week? 💎 “all-star roster of digital catwalks”.  Digital catwalks? See you next year then 😉 @TommyHilfiger   https://t.co/IUvLwmW4mk  #Decentraland #Metaverse @BosonProtocol #MVFW2022  #MVFW #Metaverse #Fashion #NFT #Blockchain #Crypto  https://t.co/LBxQyJ7ota;43;145;277;[]
40;2022-03-27 09:55:54 CEST;27.03.22;Mary Ema;maryemame;https://twitter.com/Maryemame/status/1507989778213527552;Brands Like Tommy Hilfiger Go Virtual at Metaverse Fashion Week – Sourcing Journal - Sourcing Journal  https://t.co/DMXtnGrmNQ;0;0;0;[]
41;2022-03-26 16:45:01 CET;26.03.22;Nicole S News;nicole_soojung;https://twitter.com/nicole_soojung/status/1507745446202122243;RT BosonProtocol: We're delighted to partner with the world renowned TommyHilfiger for Metaverse Fashion Week  Tommy Hilfiger will be ado…;0;0;0;[]
42;2022-03-24 17:04:23 CET;24.03.22;Tommy Hilfiger;tommyhilfiger;https://twitter.com/TommyHilfiger/status/1507025541945245708;#TommyHilfiger is live in the #BosonPortal fashion space in @Decentraland. Shop our Spring 22’ Collection as #NFTs using @BosonProtocol technology.    Join us from 24 - 27 March #MVFW  https://t.co/zL4sOXy6SY  https://t.co/wiWApX2kyK;15;71;307;['https://pbs.twimg.com/media/FOoHuxgWUAk1x31.jpg', 'https://pbs.twimg.com/media/FOoHvCVWQAYxYjq.jpg', 'https://pbs.twimg.com/media/FOoHvUzX0Aw32FX.jpg', 'https://pbs.twimg.com/media/FOoHvluWUAEXkYx.jpg']
43;2022-03-24 09:44:55 CET;24.03.22;Tommy Hilfiger;tommyhilfiger;https://twitter.com/TommyHilfiger/status/1506914948676562947;Inspired by the next frontier of digital technology #TommyHilfiger will be adopting @BosonProtocol during #MVFW in @Decentraland to enable the sale of physical items as #NFTs in #BosonPortal. Join us!  https://t.co/VwLB7xeeTy;23;97;359;[]
44;2022-03-23 00:45:01 CET;23.03.22;Nicole S News;nicole_soojung;https://twitter.com/nicole_soojung/status/1506416692087427076;RT BosonProtocol: We're delighted to partner with the world renowned TommyHilfiger for Metaverse Fashion Week  Tommy Hilfiger will be ado…;0;0;0;[]
45;2022-03-23 00:31:04 CET;23.03.22;Sureblog.io;sureblogio;https://twitter.com/Sureblogio/status/1506413177642397698;Tommy Hilfiger to Showcase Spring 2022 Collections and NFT Wearables at Decentraland’s Metaverse Fashion Week   https://t.co/grFzeHrhW3  https://t.co/4dZGka1v6B;0;0;0;['https://pbs.twimg.com/media/FOfay5cXMAsUZdo.jpg']
46;2022-03-22 23:22:30 CET;22.03.22;Lisa Lockwood;lisalockwood1;https://twitter.com/LisaLockwood1/status/1506395923307548676;Tommy Hilfiger to Participate in Decentraland Metaverse Fashion Week  https://t.co/aJXVlFP2hj via @wwd;1;0;1;[]
47;2022-03-22 23:09:05 CET;22.03.22;S O H E i L;soheil_sbabaei;https://twitter.com/Soheil_SBabaei/status/1506392547291189251;During the #Metaverse #FashionWeek , the #American fashion design firm said it will showcase its Spring 2022 collections and provide consumers with a “digital retail platform” that features #TommyHilfiger-crafted #NFTs.  https://t.co/ADDjkZgcGV;0;0;1;['https://pbs.twimg.com/media/FOfHhuVXEBAJNTo.png']
48;2022-03-22 23:09:03 CET;22.03.22;S O H E i L;soheil_sbabaei;https://twitter.com/Soheil_SBabaei/status/1506392539192037385;On Monday,#TommyHilfiger has announced the company is joining the inaugural #Decentraland #Metaverse #FashionWeek from March 24th to March 27th, 2022.  https://t.co/PA5DOm5WCT;1;0;0;['https://pbs.twimg.com/media/FOfIBQiXsAk6pl9.jpg']
49;2022-03-22 22:23:48 CET;22.03.22;Dragon;dragonfor27;https://twitter.com/Dragonfor27/status/1506381150100598804;Tommy Hilfiger to Showcase Spring 2022 Collections and NFT Wearables at Decentraland’s Metaverse Fashion Week  https://t.co/Wc11BCFDA8;0;0;1;[]
50;2022-03-22 22:20:01 CET;22.03.22;🇺🇦Evan Kirstel #B2B #TechFluencer;evankirstel;https://twitter.com/EvanKirstel/status/1506380199675539467;Tommy Hilfiger to Participate in Decentraland #Metaverse Fashion Week – WWD  https://t.co/0bughr2HzA;0;0;1;[]
51;2022-03-22 22:12:44 CET;22.03.22;Khabib.dcl.eth;dcljasonx;https://twitter.com/DCLjasonx/status/1506378366277939204;"More than 60 brands are on deck to participate in #Metaverse Fashion Week, including Tommy Hilfiger, Dolce &amp; Gabbana, Elie Saab, Nicholas Kirkwood, Perry Ellis, Imitation of Christ, Estée Lauder, Etro and many more, with several setting up shop in digital stores. #Decentraland  https://t.co/KRPcABqb2w";3;10;40;['https://pbs.twimg.com/media/FOe7D41VQAERN27.jpg']
52;2022-03-22 22:00:00 CET;22.03.22;DefiReport;defireport;https://twitter.com/DefiReport/status/1506375163390087170;🤝 @BosonProtocol announced partnership with @TommyHilfiger  This for the Metaverse Fashion Week.  Read all the details👇  https://t.co/fObGHqLunu  #DeFi #DeFiReport #cryptocurrencies #blockchain;1;0;0;[]
53;2022-03-22 21:33:06 CET;22.03.22;serhat 📎;fxfinans;https://twitter.com/fxfinans/status/1506368393192132613;"@TansuYegen @lidyverse @bensusoral @hakanbas Hocam benzer proje.. bakabildiniz mi buna ""We're delighted to partner with the world renowned @TommyHilfiger for Metaverse Fashion Week  Tommy Hilfiger will be adopting @BosonProtocol technology to sell physical products in the metaverse""";0;0;0;[]
54;2022-03-22 21:08:02 CET;22.03.22;Maghan McDowell;maghanmcd;https://twitter.com/maghanmcd/status/1506362082857529345;"The schedule and website for @decentraland's Metaverse Fashion Week, which will show digital fashion from Etro, Dolce &amp; Gabbana, Perry Ellis, Hogan, Dundas, Tommy Hilfiger, Phillip Plein and others, is now up:  https://t.co/df01kK55lp";0;3;9;[]
55;2022-03-22 21:02:00 CET;22.03.22;Soft Leaders - Advanced Tech & Crypto;soft_leaders;https://twitter.com/soft_leaders/status/1506360565375119361;Virtual reality platform #decentraland has launched #metaverse fashion week, a digital fashion week where brands including The Fabricant and Tommy Hilfiger will showcase new clothing collections.;2;0;0;[]
56;2022-03-22 21:00:16 CET;22.03.22;🤯NFTS🤯 NEW FUN THING!🔜;newfunthingwow;https://twitter.com/newfunthingwow/status/1506360128253087754;"IT’S PROBABLY NOTHING 🤫 &gt; &gt; &gt; 3/22/22  🌐🌐🌐 Metaverse 🌐🌐🌐  Tommy Hilfiger participates in Decentraland Metaverse Fashion Week 🧥   https://t.co/zcLQXecSoy   https://t.co/cEr99CikyI  https://t.co/PsHHBpbBlQ";0;0;0;['https://pbs.twimg.com/media/FOeqi__XMAYBBKS.jpg']
57;2022-03-22 20:54:29 CET;22.03.22;Wend;wendfinancial;https://twitter.com/WendFinancial/status/1506358672775073794;Tommy Hilfiger to Showcase Spring 2022 Collections and NFT Wearables at Decentraland’s Metaverse Fashion Week  https://t.co/xcaWnHYHm6;0;0;0;['https://pbs.twimg.com/media/FOepOr2WUAke8i-.jpg']
58;2022-03-22 20:06:12 CET;22.03.22;collectible | NFT reviews;collectible_to;https://twitter.com/collectible_to/status/1506346521914224645;"Tommy Hilfiger will participate in the first Decentraland Metaverse Fashion Week this week!🔥  They will showcase the Spring 2022 collection and provide consumers with a ""digital retail platform"" featuring NFT apparel created by Tommy Hilfiger 🧥  #clctbl #NFT #NFTs #Metaverse  https://t.co/4Y2R7Bi3ZA";1;1;3;['https://pbs.twimg.com/media/FOedRRdXwAMPTP4.jpg']
59;2022-03-22 20:04:58 CET;22.03.22;Models Culture;modelsculture;https://twitter.com/ModelsCulture/status/1506346215478280198;Tommy Hilfiger to Participate in Decentraland Metaverse Fashion Week  https://t.co/I3cAEZ85P7;0;0;0;[]
60;2022-03-22 19:56:38 CET;22.03.22;▇ █ 🇩​🇪​🇪​🇵​ 🇨​🇭​🇴​🇰​🇸​🇮​ █ ▇;deepchoksi;https://twitter.com/DEEPCHOKSI/status/1506344115176304641;Tommy Hilfiger to join inaugural Decentraland Metaverse Fashion Week  https://t.co/eOrT6xW7Yc;0;0;0;[]
61;2022-03-22 19:25:59 CET;22.03.22;8SIAN;8siannft;https://twitter.com/8sianNFT/status/1506336403718049792;Can’t wait for Metaverse Fashion Week @BosonProtocol 👘 Fashion District 👠 to be open for business 🙌🛍! 👋🏻 neighbours @TommyHilfiger, @HoganBrand, @ShopCider, @Deadfellaz, @FangGangNFT @therebelsnft, @Chubbies @SantaMonicaPlc, @ANREALAGE_, @ngrave_official, @ikks616 💋 #8SIAN  https://t.co/4BebwkeMcc;4;34;134;['https://pbs.twimg.com/media/FOeU-OBagAUQO-E.jpg']
62;2022-03-22 19:20:05 CET;22.03.22;Metaverse Post Ⓜ️;mpost_io;https://twitter.com/mpost_io/status/1506334919949426689;#Metaverse #FashionWeek 2022: Tommy Hilfiger Presents Digital Spring Collection   MVFW will take place on March 24-28 and will offer an immersive shopping experience 👇  https://t.co/FdD5uFaqSn;1;1;6;['https://pbs.twimg.com/media/FOeTAApaMAE0sMQ.jpg']
63;2022-03-22 19:13:42 CET;22.03.22;Badsha Mamun;badshamamun1;https://twitter.com/BadshaMamun1/status/1506333311001858048;Tommy Hilfiger to join inaugural Decentraland Metaverse Fashion Week  https://t.co/gqAPb4ZViN;0;0;0;[]
64;2022-03-22 19:06:50 CET;22.03.22;NFTRocketPad;nftrocketpad;https://twitter.com/NFTRocketPad/status/1506331582491205634;Tommy Hilfiger joins Metaverse Fashion Week from March 24th to 27th  Hilfiger will showcase its Spring 2022 collection with the digital retail platform that contains Tommy Hilfiger NFTs  The first Fashion Week in Metaverse is being done collaborating with luxury marketplace UNXD.  https://t.co/Gp090D4CWj;0;0;0;['https://pbs.twimg.com/media/FOeQXe1XoA4rUw0.jpg']
65;2022-03-22 18:59:01 CET;22.03.22;Boson Protocol;bosonprotocol;https://twitter.com/BosonProtocol/status/1506329617262682125;"See now, wear now #MVFW  ""@TommyHilfiger, in addition to showing its Spring 2022 collection, will sell wearables for avatars that are also redeemable for physical items, through a partnership with @BosonProtocol""  @maghanmcd @voguebusiness    https://t.co/qNcjUWzWnA  https://t.co/WI3oMQ0U8m";5;24;138;['https://pbs.twimg.com/media/FOeOzdTXEAsdenI.png']
66;2022-03-22 18:52:34 CET;22.03.22;Takashi.nft;0xtakashi;https://twitter.com/0xtakashi/status/1506327993077178369;Tommy Hilfiger to Showcase Spring 2022 Collections and NFT Wearables at Decentraland’s Metaverse Fashion Week  #mana ⁦@decentraland⁩   #NFTCommunity #ntfs #nft #metaverse  https://t.co/pURFF6UeYe;1;1;1;['https://pbs.twimg.com/media/FOeNU3WXIAAsp94.jpg']
67;2022-03-22 18:45:43 CET;22.03.22;▇ █ 🇩​🇪​🇪​🇵​ 🇨​🇭​🇴​🇰​🇸​🇮​ █ ▇;deepchoksi;https://twitter.com/DEEPCHOKSI/status/1506326271139143681;Tommy Hilfiger to join inaugural Decentraland Metaverse Fashion Week  https://t.co/eOrT6ydJmM;0;0;0;[]
68;2022-03-22 18:30:51 CET;22.03.22;ND LABS;imndlabs;https://twitter.com/imNDLABS/status/1506322527680827392;At the end of February, Decentraland, the virtual blockchain metaverse, announced the project’s first #Metaverse  Fashion Week (MFW) would take place this year.  It was also noted at the time that the American fashion design firm Tommy Hilfiger would be in attendance.  https://t.co/ChH3cuZ5DH;18;6;28;['https://pbs.twimg.com/media/FOeIVs-VEAMc_kf.jpg']
69;2022-03-22 18:19:25 CET;22.03.22;BosonGod👾 𓆏;boson_god;https://twitter.com/boson_god/status/1506319649553719305;Less that 48hrs to go until Metaverse Fashion Week #MVFW begins and wow do we have an exciting event ahead of us!  This week @BosonProtocol announced that @TommyHilfiger have partnered with them to showcase its Spring 2022 Collection.  Let's look at what's to come!  1/  https://t.co/gP2LtGhpcy;2;7;15;['https://pbs.twimg.com/media/FOdtJfsXoAIsB84.jpg']
70;2022-03-22 17:22:30 CET;22.03.22;RAHUL;rahuljoshi1381;https://twitter.com/rahuljoshi1381/status/1506305327381155840;Tommy Hilfiger to join inaugural Decentraland Metaverse Fashion Week  https://t.co/bwXfazZyQz;0;1;1;[]
